video_id,title,category,channel,transcript_length,RoBERTa_Plain_score,RoBERTa_Valence_Scaled_score,LLM_V1_openai_score,LLM_V3_FINAL_openai_score
_GXNJ3V9lzg,Jon Stewart's Post-Kimmel Primer on Free Speech in the Glori,Political Commentary (Left),The Daily Show,13734,2.5698,2.257,1.0,1.5
DK9TkLPJY6w,Jimmy Kimmel's Suspension Was Always About Censorship (Just ,Political Commentary (Left),The Daily Show,13477,2.5281,2.1873,1.5,2.25
k8j3N7dEwzY,Trump Sends Troops to Portland & Shootings Trigger Left-Righ,Political Commentary (Left),The Daily Show,14128,2.4956,2.1407,3.0,1.75
hlS5um3WJqg,"Hegseth Lectures ""Fat Generals"" and Trump Threatens War Agai",Political Commentary (Left),,8304,2.4465,1.9719,0.0,1.5
N4rkUhA4_AE,Jon Stewart Makes the Case for Dems Holding the Line in Trum,Political Commentary (Left),The Daily Show,14585,2.506,2.0857,3.0,1.5
K7otv-HjT44,Trump Blames the Left for Charlie Kirk's Assassination as Rh,Political Commentary (Left),The Daily Show,8580,2.5218,2.095,1.0,2.0
pSWF7iOP9Ww,Charlie Kirk Criticism Ignites MAGA Cancel Culture Spree | T,Political Commentary (Left),The Daily Show,8891,2.486,1.9799,1.0,1.5
pq15ff11nnM,Trump Suddenly Sides with Ukraine & MAGA Spins Conspiracies ,Political Commentary (Left),The Daily Show,10927,2.5124,2.1118,0.5,1.25
RTf2MdntsF0,Trump Blames Autism on Tylenol While Americans Prep for the ,Political Commentary (Left),The Daily Show,9756,2.4966,2.118,1.0,2.0
SoZwKjQ0c18,Shutdown Sparks Cringey Meme War & Trump Punishes Blue Citie,Political Commentary (Left),,9529,2.4997,2.068,0.5,1.75
5zQ0WewZY50,Trump & Tariffs: Last Week Tonight with John Oliver (HBO),Political Commentary (Left),LastWeekTonight,28288,2.5289,2.0632,0.0,1.0
07JQr5W3970,Trump & The Press: Last Week Tonight with John Oliver (HBO),Political Commentary (Left),LastWeekTonight,29176,2.5298,2.0558,2.0,1.0
F2hN3JKZ-Go,Trump & Deportations: Last Week Tonight with John Oliver (HB,Political Commentary (Left),LastWeekTonight,27427,2.4965,1.9441,1.5,1.5
vjFL-cBcjKc,Trump’s One Big Beautiful Bill: Last Week Tonight with John ,Political Commentary (Left),LastWeekTonight,26490,2.5134,1.9705,1.0,1.5
YeABJbvcJ_k,Air Traffic Control: Last Week Tonight with John Oliver (HBO,Political Commentary (Left),LastWeekTonight,31636,2.5368,2.079,3.0,2.75
ohPToBog_-g,Jimmy Kimmel & the FCC: Last Week Tonight with John Oliver (,Political Commentary (Left),LastWeekTonight,25486,2.5196,2.0418,1.0,1.5
0UEhMDAlX1Y,Mass Deportations: Last Week Tonight with John Oliver (HBO),Political Commentary (Left),LastWeekTonight,4369,2.4538,1.9231,0.0,1.25
TWpg1RmzAbc,AI Slop: Last Week Tonight with John Oliver (HBO),Political Commentary (Left),LastWeekTonight,28869,2.5603,2.1597,3.0,2.25
89R9ZxKaIOw,Tipping: Last Week Tonight with John Oliver (HBO),Political Commentary (Left),LastWeekTonight,26231,2.5492,2.1192,4.0,1.75
5Hpgu7wSUQQ,ICE Detention: Last Week Tonight with John Oliver (HBO),Political Commentary (Left),LastWeekTonight,24772,2.5104,1.9712,3.5,1.5
K_2_qgl_fpA,Jeremy’s Razors: The 2nd Greatest Commercial Ever,Political Commentary (Right),DailyWire+,559,2.4641,1.9095,0.5,1.0
IKa3RGP7-w4,How to Win a War in 37 Hours,Political Commentary (Right),DailyWire+,3376,2.5741,2.1319,1.5,2.0
1Bgq3x7U25I,The Daily Wire Hosts REACT to the Hunter Biden Pardon,Political Commentary (Right),DailyWire+,2504,2.4865,1.9643,1.0,1.5
4KqVpLpca0w,Mexico's Door: The Center of America's Border Fight,Political Commentary (Right),DailyWire+,4305,2.5116,2.0181,1.0,2.0
esMWMkHqae4,Should Christians Vote for Trump?,Political Commentary (Right),DailyWire+,2521,2.4976,1.9914,1.0,1.5
7aTXI9eAElo,Which Daily Wire Host Knows the Most American Trivia?!,Political Commentary (Right),DailyWire+,2434,2.5411,2.1835,0.0,3.0
p8OFjK1Jp40,What Is The Pendragon Cycle?,Political Commentary (Right),DailyWire+,489,2.4957,2.0261,2.5,2.0
mpC5V9c6moo,America Will Never Be The Same After Charlie Kirk’s Assassin,Political Commentary (Right),Matt Walsh,2577,2.5884,2.244,1.0,3.0
kfuDJXZLqPQ,This Question About Charlie Kirk Has Been Haunting Me,Political Commentary (Right),Matt Walsh,937,2.5895,2.1558,0.0,2.0
WXkroI_X3fU,Muslim Mayor DOUBLES DOWN...And It Only Gets Worse,Political Commentary (Right),Matt Walsh,5451,2.5294,2.0053,0.0,1.75
y9T3ODZ4vno,Leftists Are Getting Fired Right And Left For Celebrating Ch,Political Commentary (Right),Matt Walsh,2852,2.4637,2.0295,0.0,0.5
ZbbInww7AbA,Muslim Mayor Lashes Out At Christian Citizen With Absurd Sta,Political Commentary (Right),Matt Walsh,1619,2.4985,2.1396,0.5,2.75
QDoNDL4BZwM,Left-Wing Terrorism Is A Real Threat That Can No Longer Be I,Political Commentary (Right),Matt Walsh,6269,2.5195,1.9835,0.0,1.25
Mh5TjsOD2cw,I Now Have A Deeper Appreciation For This Ben Affleck Meme,Political Commentary (Right),Matt Walsh,3417,2.5589,2.0724,1.0,3.0
wry0xQIajKI,The “Great Replacement” Is Not Just A Conspiracy Theory | Pr,Political Commentary (Right),Matt Walsh,4489,2.5404,2.0838,0.0,1.5
TFPh7PnRQq8,Pam Bondi’s Hate Speech Comments Should End Her Career,Political Commentary (Right),Matt Walsh,5007,2.5271,1.9523,0.5,1.0
dYzOV1nTXGM,Matt Walsh Responds To These Pitiful Leftists Who Are Mockin,Political Commentary (Right),Matt Walsh,3039,2.5308,2.0999,0.5,2.0
NfMdvee5HoY,"$25,000 vs. $25,000,000",News & Journalism,Johnny Harris,6448,2.4953,1.9836,2.5,1.5
kieCFwMqKtE,The WILD Story of How the Mormons Created Utah,News & Journalism,Johnny Harris,5338,2.5529,2.2171,1.5,4.0
iqJ0kg9xvLs,Why the U.S. Military Spends So Much Money,News & Journalism,Johnny Harris,6074,2.5016,2.0006,1.0,1.0
KloahKhSWTk,The Secret Trump Investigation Nobody is Talking About,News & Journalism,Johnny Harris,27080,2.5546,2.1748,1.5,2.0
2PeYDphtHYo,How Benjamin Netanyahu Relies on Hamas,News & Journalism,Johnny Harris,22713,2.5831,2.1021,3.0,1.5
gzLPa6NbcrE,Why you’re so tired,News & Journalism,Johnny Harris,4382,2.4958,1.9889,2.5,3.0
7PNCdOQvrRM,"The Iran-Iraq War, Mapped",News & Journalism,Johnny Harris,3960,2.4161,1.3863,1.0,1.5
yczYThn4nDI,"The most important country you’ve never heard about, Mapped",News & Journalism,Johnny Harris,5624,2.5018,1.9944,1.0,3.0
qsO-rULEfrk,"The War in Yemen, Mapped",News & Journalism,Johnny Harris,20876,2.5464,2.0229,3.5,2.0
J4qqIJ312zI,"1955 vs 2025, who actually had it better?",News & Journalism,Johnny Harris,5257,2.5449,2.0644,1.5,3.5
